x,y
674.01337,45.410324
619.0785,89.465614
589.54614,112.701935
583.2014,117.23828
579.04565,119.9509
572.1685,124.315956
567.7791,126.744736
563.9258,128.31851
561.6301,128.63998
560.4282,128.3984
559.5538,127.710754
559.0499,126.52542
559.02344,123.77964
559.7158,121.01758
568.62915,99.14415
617.3926,-16.510643
660.3872,-119.38776
699.8098,-16.20691
701.253,-11.539658
703.58655,-3.1270542
704.5725,2.994728
704.6119,9.404152
703.70996,14.31563
702.6188,17.602724
701.0504,20.88172
698.9514,24.134836
696.26825,27.344294
692.9475,30.492313
691.00146,32.034058
691.00146,32.034058
467.453,-110.379395
466.96567,-116.15512
466.72272,-125.79816
467.2541,-131.59348
467.95258,-134.8992
468.97113,-137.75821
470.3332,-140.19968
472.06207,-142.25288
474.1812,-143.94708
476.71402,-145.3115
479.68387,-146.3754
484.94727,-147.50015
493.78986,-148.1758
499.10718,-148.22235
591.25,-148.22235
599.3534,-148.1373
613.3627,-147.20605
624.9424,-145.52261
634.3232,-143.26602
641.73553,-140.61528
647.4101,-137.7494
651.57745,-134.84746
654.46814,-132.08844
655.468,-130.83563
655.458,-130.83563
655.78046,-130.4432
656.7909,-127.34625
656.7235,-124.067505
656.15796,-122.01727
639.5823,-82.31962
591.08875,33.291092
563.33167,98.84483
555.5166,116.81836
553.5154,121.04255
549.2342,127.97592
544.63947,133.28867
539.7545,137.20016
537.19995,138.6543
535.62036,139.37775
532.5143,140.3612
528.0558,141.01381
522.82556,140.65387
518.77716,139.62842
517.4037,139.10413
514.78326,137.8682
510.01776,134.81204
505.79535,131.02524
502.0857,126.475006
498.8585,121.12851
496.08337,114.95296
493.72998,107.91553
491.768,99.983444
490.93872,95.632324
467.453,-110.379395
467.453,-110.379395
716.5867,143.55334
680.83325,143.56335
670.5952,148.68237
860.0,148.68237
849.76196,143.56335
829.28564,143.56335
825.9247,143.5043
819.4414,142.77856
813.2988,141.29292
807.55743,139.01312
802.27747,135.90494
797.5193,131.9342
793.34326,127.06667
789.8097,121.26814
788.33325,117.96814
675.9043,-153.79132
547.73804,-153.34143
424.88098,-153.34143
381.04907,-29.004517
369.958,2.1265678
354.8957,44.71395
347.66925,63.333687
343.89825,71.19351
341.41608,74.84202
339.82306,76.4586
338.23163,77.4589
336.59378,77.920334
335.73755,77.95557
334.84613,77.92166
333.15546,77.47484
331.52182,76.50116
329.88577,74.92059
327.31592,71.337585
323.3156,63.574593
315.36572,45.08056
298.03082,2.5029907
284.94702,-28.754639
271.56946,-60.10752
243.99712,-122.244705
230.35718,-153.34143
124.746826,-153.34143
124.72681,-153.35144
54.09491,-153.35641
-16.536987,-153.35144
-20.586023,-153.31566
-28.57491,-152.8924
-36.4256,-152.05806
